Tag;Stunde;AVG_TA200;AVG_WV1000;MAX_WV1000max;SUM_GS200;SUM_NN050;SUM_SSD
01.01.2024;00:00;6,8;5,4;12,6;0,0;0,0;0,0
01.01.2024;01:00;6,7;5,2;12,9;0,0;0,0;0,0
01.01.2024;02:00;6,5;4,4;11,1;0,0;0,0;0,0
01.01.2024;03:00;6,4;5,0;11,1;0,0;0,3;0,0
01.01.2024;04:00;6,1;4,9;9,7;0,0;0,0;0,0
01.01.2024;05:00;6,2;5,0;10,1;0,0;0,0;0,0
01.01.2024;06:00;6,2;5,0;10,4;0,0;0,0;0,0
01.01.2024;07:00;6,1;5,2;13,0;0,0;0,0;0,0
01.01.2024;08:00;6,0;4,8;12,0;0,0;0,0;0,0
01.01.2024;09:00;5,7;5,0;11,8;0,0;0,0;0,0
01.01.2024;10:00;5,7;5,3;12,8;13,3;0,0;0,0
01.01.2024;11:00;5,8;4,4;9,8;38,5;0,0;0,0
01.01.2024;12:00;6,3;4,7;10,6;83,1;0,0;0,0
01.01.2024;13:00;6,7;4,5;9,8;101,9;0,0;0,0
01.01.2024;14:00;6,7;4,4;11,3;82,1;0,0;0,0
01.01.2024;15:00;6,7;4,1;8,5;55,6;0,0;0,0
01.01.2024;16:00;6,8;4,0;8,3;30,0;0,0;0,0
01.01.2024;17:00;6,3;3,7;8,0;7,1;0,0;0,0
01.01.2024;18:00;6,4;2,9;7,3;0,0;0,0;0,0
01.01.2024;19:00;6,6;3,3;6,6;0,0;0,0;0,0
01.01.2024;20:00;6,6;3,6;7,0;0,0;0,0;0,0
01.01.2024;21:00;6,4;3,9;8,0;0,0;0,2;0,0
01.01.2024;22:00;6,3;3,8;7,6;0,0;0,0;0,0
01.01.2024;23:00;6,4;3,6;7,0;0,0;0,0;0,0
02.01.2024;00:00;6,4;4,0;7,8;0,0;0,2;0,0
02.01.2024;01:00;6,0;4,0;8,4;0,0;0,6;0,0
02.01.2024;02:00;5,9;4,2;7,4;0,0;2,5;0,0
02.01.2024;03:00;5,9;4,7;8,7;0,0;3,0;0,0
02.01.2024;04:00;6,5;4,7;11,3;0,0;2,2;0,0
02.01.2024;05:00;7,5;6,0;12,7;0,0;1,4;0,0
02.01.2024;06:00;8,0;6,3;13,0;0,0;1,1;0,0
02.01.2024;07:00;8,2;6,1;15,4;0,0;0,5;0,0
02.01.2024;08:00;8,1;5,6;13,0;0,0;0,3;0,0
02.01.2024;09:00;8,2;5,8;12,4;0,0;0,1;0,0
02.01.2024;10:00;8,0;5,9;12,5;6,7;1,0;0,0
02.01.2024;11:00;7,8;4,6;10,7;17,6;1,1;0,0
02.01.2024;12:00;7,9;4,9;10,2;21,6;1,5;0,0
02.01.2024;13:00;8,0;5,0;10,0;20,5;1,8;0,0
02.01.2024;14:00;7,8;5,9;15,4;17,1;2,1;0,0
02.01.2024;15:00;8,0;6,7;13,4;17,7;2,0;0,0
02.01.2024;16:00;8,2;6,6;12,6;7,2;1,8;0,0
02.01.2024;17:00;8,4;6,8;13,4;0,0;1,7;0,0
02.01.2024;18:00;8,6;7,2;14,0;0,0;3,2;0,0
02.01.2024;19:00;8,5;7,5;17,8;0,0;1,8;0,0
02.01.2024;20:00;8,3;8,0;17,7;0,0;0,3;0,0
02.01.2024;21:00;8,3;7,5;16,1;0,0;0,1;0,0
02.01.2024;22:00;8,3;7,1;15,6;0,0;0,3;0,0
02.01.2024;23:00;8,2;6,3;15,6;0,0;0,2;0,0
03.01.2024;00:00;8,3;6,1;14,4;0,0;0,0;0,0
03.01.2024;01:00;8,2;6,6;14,6;0,0;0,8;0,0
03.01.2024;02:00;8,1;5,8;14,1;0,0;0,1;0,0
03.01.2024;03:00;8,7;5,7;13,5;0,0;0,0;0,0
03.01.2024;04:00;9,2;6,4;13,5;0,0;0,0;0,0
03.01.2024;05:00;9,1;5,9;12,8;0,0;0,2;0,0
03.01.2024;06:00;8,6;6,4;13,9;0,0;0,2;0,0
03.01.2024;07:00;8,8;5,9;14,1;0,0;0,0;0,0
03.01.2024;08:00;8,8;6,4;13,4;0,0;0,3;0,0
03.01.2024;09:00;9,4;6,6;15,9;3,1;0,0;0,0
03.01.2024;10:00;9,6;6,2;16,1;51,6;0,0;0,2
